campo,preds,y_test,mse,rmse,mae,mse_1,rmse_1,mae_1
TUPI,"[0.75232787 0.79047147 0.68251887 0.75130632 0.73849669 0.6809231
 0.67259009 0.32966007 0.29394759 0.26485803 0.3909065  0.58354762
 0.69716331 0.60898887 0.68725686 0.81245221 0.47121852 0.28306233
 0.32766655 0.51852417 0.59546098 0.72585775 0.38992066 0.29417443
 0.37721097 0.45316636 0.56905972 0.60282866 0.5524885  0.49620679
 0.50140812 0.54805073 0.48611413 0.59153419 0.65446541]","[0.93468533 0.85867212 0.82140665 0.76479138 0.86511083 0.8571311
 0.75757554 0.80289598 0.81084726 0.8297371  0.82346132 0.85377112
 0.85844548 0.85439249 0.83676574 0.78795702 0.80459745 0.83193882
 0.75785581 0.8434872  0.77280417 0.72227347 0.64351217 0.75778496
 0.75073544 0.79999515 0.81056866 0.73220629 0.78028983 0.7492065
 0.69348953 0.79195068 0.74952564 0.77791314 0.71194091]",0.08455950131428495,0.29079116443641295,0.24800133722910367,0.033254242175247056,0.1823574571418648,0.1823574571418648
BAÚNA,"[0.34335631 0.36463945 0.32149494 0.37497498 0.30929325 0.37722557
 0.39582786 0.37904239 0.44849862 0.49526009 0.4579492  0.43926031
 0.45988895 0.49124763 0.73613639 0.7576663  0.54535011 0.52356854
 0.63330624 0.58407182 0.56202048 0.5590776  0.52828537 0.40323205
 0.59198624 0.71506115 0.69089006 0.67185653 0.72380491 0.72975809
 0.63875982 0.4884349 ]","[0.19426939 0.20110994 0.19755082 0.10235966 0.19735766 0.15933357
 0.17303511 0.18796314 0.19050858 0.19034724 0.17672157 0.1843287
 0.17163493 0.18054846 0.17719819 0.15644074 0.12611575 0.16999715
 0.16703527 0.13562437 0.18975051 0.16645128 0.20662287 0.3169327
 0.28520097 0.30855754 0.29159577 0.24067601 0.33410612 0.
 0.3312332  0.40446563]",0.12361286703356786,0.3515862156478377,0.31956729040863263,0.022226908398588808,0.14908691558479842,0.14908691558479842
URUGUÁ,"[0.31119891 0.30556526 0.52996087 0.54196613 0.59718922 0.50764757
 0.48161197 0.57968433 0.61650876 0.6689451  0.64823725 0.66463723
 0.67856197 0.52752478 0.5143139  0.93223626 0.9338153  0.88667592
 0.73143918 0.67528863 0.67236525 0.56348762 0.48670207 0.5348918
 0.71741012 0.74608612 0.81803387 0.67920449 0.51270003 0.4760858
 0.50532424 0.65588216]","[0.         0.05990367 0.35896388 0.12684958 0.19266168 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.11086901 0.24230927 0.01573837 0.
 0.         0.         0.00190284 0.24655695 0.34908613 0.39978749
 0.22361408 0.40787093 0.39812164 0.3274734  0.33301458 0.29678753
 0.28039806 0.32533035]",0.2657780949084033,0.5155367056848652,0.4688732095364472,0.0968447632583609,0.31119891268826905,0.31119891268826905
SAPINHOÁ,"[0.63182951 0.47979886 0.53383116 0.6758475  0.57431041 0.63400798
 0.77737428 0.7700475  0.61664245 0.71514847 0.65261313 0.56207658
 0.66727777 0.68196056 0.74811445 0.767152   0.79793372 0.89113311
 0.82092218 0.80485046 0.66599898 0.71948511 0.68986203 0.79579079
 0.83902446 0.80454139 0.85231971 0.81255031]","[0.72535288 0.75068027 0.75844551 0.73744978 0.77827122 0.7791194
 0.73234838 0.70307107 0.615925   0.57436378 0.71314932 0.60403079
 0.74352072 0.71303599 0.71169527 0.68680641 0.6835306  0.70260974
 0.6634814  0.6501921  0.4376623  0.64258443 0.59321199 0.57391452
 0.64913106 0.63596624 0.64755861 0.65137686]",0.021131609443159706,0.14536715393499217,0.12653443019535457,0.008746620918145822,0.0935233709729596,0.0935233709729596
MEXILHÃO,"[0.58422335 0.59520734 0.53764223 0.63053154 0.50709515 0.54180505
 0.5548853  0.48593658 0.51874745 0.61557161 0.77596446 0.73547449
 0.68677279 0.83030481 0.80850336 0.92431002 0.91327751 0.84743132
 0.80917721 0.73914388 0.69115693 0.62776008 0.62668208 0.56723575
 0.5019727  0.50493644 0.48818317 0.55935726 0.46096975 0.47105998]","[0.50854892 0.44042944 0.44390207 0.43251934 0.48941638 0.47282771
 0.49750307 0.44042972 0.         0.39956724 0.45938481 0.45213186
 0.44014465 0.40219211 0.47167083 0.47216684 0.4573919  0.41858502
 0.44085504 0.43398848 0.41465473 0.42120785 0.40331733 0.39275077
 0.37513253 0.30389606 0.34168883 0.30570061 0.34036381 0.32952122]",0.07144112887159954,0.26728473370471334,0.2313143461875818,0.005726618837996564,0.07567442657857781,0.07567442657857781
LAPA,"[0.71848919 0.42534714 0.35914781 0.46404806 0.39833381 0.40606891
 0.48716934 0.54999246 0.6078222  0.66286578 0.61544432 0.47312356
 0.54645738 0.24823239 0.28705083 0.3698477  0.4009782  0.43829732
 0.46702347 0.47072029]","[0.56809829 1.         0.96554665 0.86519583 0.9473008  0.93585413
 0.96287397 0.92768651 0.96796038 0.9514235  0.89674663 0.93919185
 0.46374861 0.33425208 0.55610163 0.63483639 0.8030557  0.75220403
 0.78992046 0.75456683]",0.1471832739882151,0.3836447236548616,0.3543151723721172,0.022617422920978566,0.1503909003928714,0.1503909003928714
TAMBAÚ,"[ 0.07885778  0.08463572 -0.12896966 -0.12896966 -0.12896966 -0.12896966
 -0.12896966 -0.12896966 -0.12896966 -0.12896966 -0.12896966 -0.12896966
 -0.12896966 -0.12896966 -0.12896966 -0.12896966 -0.12896966 -0.12896966
 -0.12896966 -0.12896966  0.06511965  0.1442262   0.1605937   0.15131943
  0.19250656  0.23210512  0.10241124]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.0169977  0.         0.         0.01012596 0.
 0.         0.01794143 0.02742164]",0.017651123229941265,0.13285752982025997,0.12943473607339753,0.006218549682464942,0.07885778136915178,0.07885778136915178
BÚZIOS,"[0.77178254 0.81704059 0.87489421 0.91664126 0.60125363 0.32398692
 0.15470784 0.10829914 0.16845128 0.12359657 0.04112933 0.07475378
 0.83558696 0.8283212  0.87748975 0.6237631  0.66506321 0.73421046
 0.62392563 0.55201744 0.54688316 0.32467053 0.33116277 0.42364145]","[0.93238241 0.87598702 0.23425834 0.19933104 0.2434632  0.24668037
 0.23841594 0.21205701 0.23963003 0.24050536 0.24220184 0.25312925
 0.24404845 0.24456183 0.22170839 0.24544853 0.23913124 0.21747318
 0.24777248 0.23378665 0.20947351 0.23871782 0.23047855 0.2571929 ]",0.13796238768277516,0.3714328844929797,0.30435554115286473,0.02579231959436206,0.16059987420406674,0.16059987420406674
SÉPIA,"[6.40275903e-05 1.19046854e-01 1.33995803e-01 1.23207301e-01
 1.23702771e-01 1.29020752e-01 1.42678115e-01 1.16244116e-01
 1.10721994e-01 1.23419358e-01 9.80851981e-02 4.20822585e-02
 3.56637513e-02 3.09334463e-02 2.53726436e-02 9.63625095e-03
 2.02136346e-02 1.30679247e-02 2.13670624e-02 1.64437212e-02
 2.83429395e-02 2.60447150e-02 5.13769136e-03]","[0.06684844 0.38477523 0.39721009 0.32472256 0.35110532 1.
 0.95335931 0.99385985 0.98531848 0.445311   0.41899627 0.41549256
 0.41592533 0.40326611 0.37847826 0.42103731 0.43245353 0.4205217
 0.37821085 0.41865055 0.39737422 0.4121335  0.40394098]",0.22522479052203326,0.4745785398877969,0.4228043109599325,0.00446015813759309,0.06678441537958606,0.06678441537958606
BERBIGÃO,"[0.40182128 0.50954867 0.44359802 0.36200205 0.32720279 0.46930852
 0.49961645 0.63774449 0.7264728  0.81104891 0.96039004 0.90826547
 0.91260206 0.95430616 0.86682747 0.75654721 0.61135893 0.63198413
 0.62619508 0.5617395  0.5088315  0.66206898]","[0.42485207 0.35557298 0.47214629 0.36579265 0.58157171 0.42680089
 0.54498707 0.54506159 0.52622075 0.64469904 0.9188768  0.90020487
 0.82950609 0.76855716 0.53356211 0.59229599 0.83777264 0.76852252
 0.68428053 0.39999428 0.84530481 0.7892361 ]",0.026366720134852216,0.162378324091771,0.13060163341853614,0.0005304173298269401,0.023030790907542453,0.023030790907542453
