campo,idx_treino,idx_teste,preds,y_test,mse,rmse,mae,mse_1,rmse_1,mae_1
TUPI,"range(0, 128)","range(128, 161)","[0.915099   0.8969966  0.87306046 0.881499   0.88172704 0.8566435
 0.85524446 0.8507976  0.8507623  0.84689665 0.8527373  0.8592982
 0.8647429  0.8628365  0.85177666 0.8516283  0.8549253  0.83991987
 0.849145   0.8375713  0.8198418  0.78974867 0.79460937 0.7923053
 0.80014616 0.80704635 0.79553366 0.8021347  0.7965189  0.78256166
 0.79612166 0.79516983 0.8001191 ]","[0.82140665 0.76479138 0.86511083 0.8571311  0.75757554 0.80289598
 0.81084726 0.8297371  0.82346132 0.85377112 0.85844548 0.85439249
 0.83676574 0.78795702 0.80459745 0.83193882 0.75785581 0.8434872
 0.77280417 0.72227347 0.64351217 0.75778496 0.75073544 0.79999515
 0.81056866 0.73220629 0.78028983 0.7492065  0.69348953 0.79195068
 0.74952564 0.77791314 0.71194091]",0.004540260422944704,0.06738145459208122,0.05109403076987864,0.008778260448675705,0.09369237134727515,0.09369237134727515
BAÚNA,"range(0, 120)","range(120, 150)","[0.22501653 0.23034155 0.21733344 0.2287899  0.23045558 0.2416068
 0.25350282 0.26557449 0.28314468 0.29515916 0.3069242  0.31130156
 0.26926747 0.27407965 0.25865477 0.24842092 0.25527683 0.2704531
 0.2831572  0.29775506 0.31734022 0.33359733 0.36619803 0.3857674
 0.3926855  0.36767605 0.35294238 0.35370493 0.29105222 0.3124596 ]","[0.19755082 0.10235966 0.19735766 0.15933357 0.17303511 0.18796314
 0.19050858 0.19034724 0.17672157 0.1843287  0.17163493 0.18054846
 0.17719819 0.15644074 0.12611575 0.16999715 0.16703527 0.13562437
 0.18975051 0.16645128 0.20662287 0.3169327  0.28520097 0.30855754
 0.29159577 0.24067601 0.33410612 0.         0.3312332  0.40446563]",0.012735967027290136,0.11285374175139315,0.09547732940308085,0.0007543655450296822,0.027465715811347102,0.027465715811347102
URUGUÁ,"range(0, 116)","range(116, 146)","[0.11669578 0.22213143 0.17650187 0.18951257 0.11413968 0.08099356
 0.05089568 0.04228823 0.03832149 0.03671208 0.03682019 0.0281524
 0.02722779 0.07335087 0.15101685 0.08346575 0.05856406 0.04339666
 0.03473821 0.03050121 0.13346067 0.22112933 0.28833622 0.25043243
 0.3224315  0.33452213 0.31016448 0.30614614 0.2854347  0.269352  ]","[0.35896388 0.12684958 0.19266168 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.11086901 0.24230927 0.01573837 0.         0.         0.
 0.00190284 0.24655695 0.34908613 0.39978749 0.22361408 0.40787093
 0.39812164 0.3274734  0.33301458 0.29678753 0.28039806 0.32533035]",0.01212322706353089,0.11010552694361392,0.08620493834238316,0.05869383446743315,0.2422681045194211,0.2422681045194211
SAPINHOÁ,"range(0, 100)","range(100, 126)","[0.73952484 0.7467226  0.74751014 0.7584889  0.7656667  0.76098907
 0.75193936 0.72777116 0.70384485 0.7121486  0.6960603  0.712132
 0.71746427 0.72146666 0.7196759  0.7182245  0.72096336 0.71584487
 0.7098807  0.6646257  0.67214024 0.6653185  0.65713906 0.6657413
 0.66958976 0.675062  ]","[0.75844551 0.73744978 0.77827122 0.7791194  0.73234838 0.70307107
 0.615925   0.57436378 0.71314932 0.60403079 0.74352072 0.71303599
 0.71169527 0.68680641 0.6835306  0.70260974 0.6634814  0.6501921
 0.4376623  0.64258443 0.59321199 0.57391452 0.64913106 0.63596624
 0.64755861 0.65137686]",0.006304345303454051,0.07939990745242749,0.05344020018008721,0.000357991744970328,0.018920669781229416,0.018920669781229416
MEXILHÃO,"range(0, 109)","range(109, 137)","[0.46657106 0.45715952 0.44769305 0.45125914 0.44650215 0.4507259
 0.4389943  0.4167278  0.5187163  0.55823326 0.57450366 0.574548
 0.5575088  0.5477107  0.5271464  0.49727753 0.46323273 0.41927344
 0.4194677  0.41392666 0.4121515  0.40695292 0.40308332 0.3944427
 0.37957877 0.37315542 0.36136752 0.3571657 ]","[0.44390207 0.43251934 0.48941638 0.47282771 0.49750307 0.44042972
 0.         0.39956724 0.45938481 0.45213186 0.44014465 0.40219211
 0.47167083 0.47216684 0.4573919  0.41858502 0.44085504 0.43398848
 0.41465473 0.42120785 0.40331733 0.39275077 0.37513253 0.30389606
 0.34168883 0.30570061 0.34036381 0.32952122]",0.01081995833393823,0.10401902871079997,0.06266940127935634,0.0005138832782152989,0.022668993762743395,0.022668993762743395
LAPA,"range(0, 71)","range(71, 89)","[0.8624576  0.8831786  0.8515013  0.8800314  0.88281035 0.89748853
 0.8873089  0.8986005  0.89452523 0.87918353 0.8891105  0.67040586
 0.5358577  0.5740607  0.61474943 0.70853466 0.7206983  0.74514496]","[0.96554665 0.86519583 0.9473008  0.93585413 0.96287397 0.92768651
 0.96796038 0.9514235  0.89674663 0.93919185 0.46374861 0.33425208
 0.55610163 0.63483639 0.8030557  0.75220403 0.78992046 0.75456683]",0.021319432520696825,0.14601175473466793,0.09621193785143604,0.010627356878382496,0.10308907254594202,0.10308907254594202
TAMBAÚ,"range(0, 97)","range(97, 122)","[0.04130502 0.04130502 0.04130502 0.04130502 0.04130502 0.04130502
 0.04130502 0.04130502 0.04130502 0.04130502 0.04130502 0.04130502
 0.04130502 0.04130502 0.04130502 0.04130502 0.04130502 0.04130502
 0.04671408 0.04316898 0.04171526 0.0442656  0.04181235 0.04091161
 0.04627775]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.0169977
 0.         0.         0.01012596 0.         0.         0.01794143
 0.02742164]",0.0015691669651182124,0.03961271216564466,0.03903477095297217,0.0017061047145026098,0.041305020451545715,0.041305020451545715
BÚZIOS,"range(0, 84)","range(84, 106)","[0.87828255 0.69261193 0.5703118  0.49172893 0.43324453 0.3979008
 0.37367833 0.3770818  0.3869069  0.40964925 0.43531466 0.43691286
 0.43689522 0.43095475 0.4353167  0.43531975 0.4273515  0.43097952
 0.4292016  0.42019653 0.42316    0.4229714 ]","[0.23425834 0.19933104 0.2434632  0.24668037 0.23841594 0.21205701
 0.23963003 0.24050536 0.24220184 0.25312925 0.24404845 0.24456183
 0.22170839 0.24544853 0.23913124 0.21747318 0.24777248 0.23378665
 0.20947351 0.23871782 0.23047855 0.2571929 ]",0.06530595311464639,0.25555029468706625,0.22711388041203345,0.4147671791946025,0.6440242069942732,0.6440242069942732
SÉPIA,"range(0, 80)","range(80, 101)","[0.15735416 0.20199169 0.19604857 0.18513636 0.30095786 0.31296262
 0.30603817 0.27521333 0.08471708 0.0226224  0.00866715 0.01215373
 0.01626272 0.01730892 0.05206757 0.07573186 0.08787531 0.08916405
 0.0954217  0.09305054 0.0952401 ]","[0.39721009 0.32472256 0.35110532 1.         0.95335931 0.99385985
 0.98531848 0.445311   0.41899627 0.41549256 0.41592533 0.40326611
 0.37847826 0.42103731 0.43245353 0.4205217  0.37821085 0.41865055
 0.39737422 0.4121335  0.40394098]",0.17924153265476298,0.4233692627656889,0.3848277097594298,0.057530866065659075,0.23985592772674824,0.23985592772674824
BERBIGÃO,"range(0, 79)","range(79, 99)","[0.3602188  0.37486094 0.32729077 0.4062037  0.37568897 0.42167187
 0.44507846 0.45421427 0.51979125 0.7072884  0.78505504 0.7944234
 0.76165557 0.6222552  0.5750865  0.67100024 0.670748   0.62606305
 0.46287692 0.62154806]","[0.47214629 0.36579265 0.58157171 0.42680089 0.54498707 0.54506159
 0.52622075 0.64469904 0.9188768  0.90020487 0.82950609 0.76855716
 0.53356211 0.59229599 0.83777264 0.76852252 0.68428053 0.39999428
 0.84530481 0.7892361 ]",0.03603394083811303,0.18982608050031752,0.15152432408378574,0.012527764673466115,0.11192749739660096,0.11192749739660096
