campo,preds,y_test,mse,rmse,mae,mse_1,rmse_1,mae_1
TUPI,"[0.88835165 0.95098644 0.93706902 0.9130814  0.89316518 0.88988867
 0.87705402 0.86036833 0.84621847 0.88989952 0.85988908 0.81063459
 0.77587125 0.78429025 0.75871406 0.75903217 0.66158787 0.66645248
 0.67328744 0.71781534 0.75628963 0.78913452 0.82176223 0.8383182
 0.85969452 0.83368018 0.86375188 0.87036756 0.88614402 0.81360245
 0.7909748  0.79204819 0.74070095 0.81704693 0.78780102]","[0.93468533 0.85867212 0.82140665 0.76479138 0.86511083 0.8571311
 0.75757554 0.80289598 0.81084726 0.8297371  0.82346132 0.85377112
 0.85844548 0.85439249 0.83676574 0.78795702 0.80459745 0.83193882
 0.75785581 0.8434872  0.77280417 0.72227347 0.64351217 0.75778496
 0.75073544 0.79999515 0.81056866 0.73220629 0.78028983 0.7492065
 0.69348953 0.79195068 0.74952564 0.77791314 0.71194091]",0.007803495603991642,0.08833739640713689,0.07604712029592188,0.002146809865197504,0.046333679599158795,0.046333679599158795
BAÚNA,"[0.1637484  0.14831256 0.15122736 0.13574209 0.21800885 0.19172664
 0.19615594 0.19252578 0.21900347 0.20625753 0.21192589 0.24417646
 0.18948615 0.16396067 0.17435599 0.14823863 0.14523784 0.14679301
 0.15145474 0.13986507 0.13812302 0.17614579 0.18563252 0.19096661
 0.25038663 0.27855046 0.29141673 0.32105036 0.32016729 0.35799438
 0.37104327 0.37703559]","[0.19426939 0.20110994 0.19755082 0.10235966 0.19735766 0.15933357
 0.17303511 0.18796314 0.19050858 0.19034724 0.17672157 0.1843287
 0.17163493 0.18054846 0.17719819 0.15644074 0.12611575 0.16999715
 0.16703527 0.13562437 0.18975051 0.16645128 0.20662287 0.3169327
 0.28520097 0.30855754 0.29159577 0.24067601 0.33410612 0.
 0.3312332  0.40446563]",0.0054706932884726975,0.07396413514990016,0.04011458048363778,0.000931531006797712,0.03052099288682647,0.03052099288682647
URUGUÁ,"[ 0.12678685  0.22902581  0.35255624  0.40915763  0.26555493  0.18142052
  0.18356686  0.26517524  0.16396545  0.22088748  0.21146054 -0.00092095
 -0.01770452 -0.16553441 -0.11876004  0.15258051  0.25736207  0.19991564
  0.03479806 -0.00082727  0.08627825  0.05134288  0.15769866  0.24382981
  0.31543937  0.38517759  0.41653076  0.45199803  0.39441739  0.36687557
  0.23743739  0.26505537]","[0.         0.05990367 0.35896388 0.12684958 0.19266168 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.11086901 0.24230927 0.01573837 0.
 0.         0.         0.00190284 0.24655695 0.34908613 0.39978749
 0.22361408 0.40787093 0.39812164 0.3274734  0.33301458 0.29678753
 0.28039806 0.32533035]",0.022507464922187664,0.15002488101040995,0.12449343433199568,0.016074904440766893,0.12678684648167132,0.12678684648167132
SAPINHOÁ,"[0.66659873 0.70891043 0.76980405 0.83850727 0.66130706 0.77615104
 0.76439288 0.83093829 0.7400565  0.70360484 0.69692488 0.69017917
 0.74042658 0.75639518 0.71345095 0.74449419 0.73637332 0.80254668
 0.77282795 0.78337066 0.67659052 0.69351311 0.73870041 0.7338881
 0.75654644 0.64152434 0.72997404 0.67464691]","[0.72535288 0.75068027 0.75844551 0.73744978 0.77827122 0.7791194
 0.73234838 0.70307107 0.615925   0.57436378 0.71314932 0.60403079
 0.74352072 0.71303599 0.71169527 0.68680641 0.6835306  0.70260974
 0.6634814  0.6501921  0.4376623  0.64258443 0.59321199 0.57391452
 0.64913106 0.63596624 0.64755861 0.65137686]",0.009265588215929378,0.09625792547073399,0.0772753244032486,0.0034520496457108567,0.05875414577466731,0.05875414577466731
MEXILHÃO,"[0.49297079 0.4731725  0.43292945 0.43937923 0.38364352 0.42331653
 0.46347201 0.47415573 0.42815217 0.43185181 0.55690725 0.58416571
 0.4755508  0.59442973 0.49325513 0.61040458 0.58166335 0.55403709
 0.53092348 0.40601883 0.40220447 0.41377257 0.37869367 0.35783238
 0.37223584 0.34771066 0.29507504 0.31233594 0.29153399 0.30780697]","[0.50854892 0.44042944 0.44390207 0.43251934 0.48941638 0.47282771
 0.49750307 0.44042972 0.         0.39956724 0.45938481 0.45213186
 0.44014465 0.40219211 0.47167083 0.47216684 0.4573919  0.41858502
 0.44085504 0.43398848 0.41465473 0.42120785 0.40331733 0.39275077
 0.37513253 0.30389606 0.34168883 0.30570061 0.34036381 0.32952122]",0.011274122679850864,0.10617967168837388,0.06647824572755066,0.00024267822619583794,0.015578132949613632,0.015578132949613632
LAPA,"[0.94564759 0.66373171 0.7318399  0.84050718 0.72143379 0.82539288
 0.83595333 0.85224647 0.92728724 1.03570322 0.78242114 0.72852069
 0.73302833 0.57700798 0.41673124 0.7192599  0.69121231 0.62647037
 0.70141242 0.67385482]","[0.56809829 1.         0.96554665 0.86519583 0.9473008  0.93585413
 0.96287397 0.92768651 0.96796038 0.9514235  0.89674663 0.93919185
 0.46374861 0.33425208 0.55610163 0.63483639 0.8030557  0.75220403
 0.78992046 0.75456683]",0.03313676558275992,0.1820350669040444,0.15517390261931907,0.14254347116012706,0.3775492963311242,0.3775492963311242
TAMBAÚ,"[0.11421721 0.06504197 0.22094683 0.22094683 0.22094683 0.22094683
 0.22094683 0.22094683 0.22094683 0.22094683 0.22094683 0.22094683
 0.22094683 0.22094683 0.22094683 0.22094683 0.22094683 0.22094683
 0.22094683 0.22094683 0.21324826 0.20897949 0.20136689 0.19517053
 0.18862979 0.19793567 0.18378664]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.0169977  0.         0.         0.01012596 0.
 0.         0.01794143 0.02742164]",0.04240777028114316,0.20593146986593178,0.2027012077178184,0.013045570407630342,0.11421720714336497,0.11421720714336497
BÚZIOS,"[0.81942632 0.83037494 0.78221266 0.94836754 1.15660907 1.17999396
 1.25429466 1.55343845 1.4122927  1.29146293 1.09984578 0.94505491
 0.25142339 0.18077469 0.1477056  0.17236982 0.20335128 0.1445361
 0.14975008 0.19106416 0.18198668 0.17933445 0.19607092 0.22770631]","[0.93238241 0.87598702 0.23425834 0.19933104 0.2434632  0.24668037
 0.23841594 0.21205701 0.23963003 0.24050536 0.24220184 0.25312925
 0.24404845 0.24456183 0.22170839 0.24544853 0.23913124 0.21747318
 0.24777248 0.23378665 0.20947351 0.23871782 0.23047855 0.2571929 ]",0.3810685535154294,0.6173075032068129,0.41878909828234256,0.012759078912127202,0.1129560928508383,0.1129560928508383
SÉPIA,"[-4.18047912e-06  1.00095890e-01  1.66455776e-01  2.04305116e-01
  2.13167570e-01  2.17803818e-01  3.70821131e-01  2.01761534e-01
  1.39907829e-01  2.77180481e-01  3.25916779e-01  5.63623960e-02
  6.54092797e-02  1.40714291e-02 -7.43798819e-02 -4.59215104e-02
  5.19042091e-02  3.89436168e-02  3.62052316e-02  3.10361040e-02
  8.22186296e-02  3.03349303e-02  3.97577933e-02]","[0.06684844 0.38477523 0.39721009 0.32472256 0.35110532 1.
 0.95335931 0.99385985 0.98531848 0.445311   0.41899627 0.41549256
 0.41592533 0.40326611 0.37847826 0.42103731 0.43245353 0.4205217
 0.37821085 0.41865055 0.39737422 0.4121335  0.40394098]",0.18540578456979054,0.4305877199477367,0.37720163087520875,0.00446927326200999,0.06685262344897162,0.06685262344897162
BERBIGÃO,"[0.53038571 0.47365871 0.38679408 0.40357742 0.40764722 0.45981758
 0.54787964 0.53951038 0.55859654 0.5737597  0.56704859 0.9015582
 0.82844052 0.84665585 0.66804371 0.65268001 0.58712524 0.6594112
 0.73696288 0.67898605 0.55880197 0.60110721]","[0.42485207 0.35557298 0.47214629 0.36579265 0.58157171 0.42680089
 0.54498707 0.54506159 0.52622075 0.64469904 0.9188768  0.90020487
 0.82950609 0.76855716 0.53356211 0.59229599 0.83777264 0.76852252
 0.68428053 0.39999428 0.84530481 0.7892361 ]",0.02253129307800381,0.15010427401644436,0.11176056430493078,0.011137348093599076,0.10553363489238432,0.10553363489238432
